Tiếng Việt,Tiếng Hàn,Phát âm,Danh mục,Độ khó
"CT scan","CT 촬영","si-ti chwal-yeong","hospital","hard"
"Bệnh tiểu đường","당뇨병","dang-nyo-byeong","hospital","hard"
"Cao huyết áp","고혈압","go-hyeo-rap","hospital","hard"
"Vitamin","비타민","bi-ta-min","hospital","easy"
"Thuốc bổ","영양제","yeong-yang-je","hospital","normal"
"Nghỉ ngơi","안정","an-jeong","hospital","normal"
"Chế độ ăn","식이요법","si-gi-yo-beop","hospital","hard"
"Giáo sư","교수","gyo-su","school","normal"
"Trợ giảng","조교","jo-gyo","school","hard"
"Thí sinh","수험생","su-heom-saeng","school","normal"
"Điểm trung bình","평균","pyeong-gyun","school","hard"
"Đỗ","합격하다","hap-gyeok-ha-da","school","normal"
"Trượt","불합격하다","bul-hap-gyeok-ha-da","school","hard"
"Ôn thi","시험 준비","si-heom jun-bi","school","normal"
"Thảo luận","토론","to-ron","school","normal"
"Thương lượng","협상하다","hyeop-sang-ha-da","work","hard"
"Ký hợp đồng","계약하다","gye-ya-ka-da","work","hard"
"Họp online","화상회의","hwa-sang-hoe-ui","work","normal"
"Nộp hồ sơ","제출하다","je-chul-ha-da","work","normal"
"Xin nghỉ","휴가를 내다","hyu-ga-reul nae-da","work","normal"
"Khiếu nại","민원","min-won","work","hard"
"Chạy marathon","마라톤","ma-ra-ton","hobby","easy"
"Đi picnic","소풍","so-pung","hobby","easy"
"Xem concert","콘서트를 보다","kon-seo-teu-reul bo-da","hobby","normal"
"Làm mô hình","모형 만들기","mo-hyeong man-deul-gi","hobby","normal"
"Chụp ảnh phong cảnh","풍경 사진","pung-gyeong sa-jin","hobby","normal"
"Nắng gắt","폭염","po-gyeom","weather","hard"
"Mưa đá","우박","u-bak","weather","hard"
"Trời trong","청명하다","cheong-myeong-ha-da","weather","hard"
"Gió mùa","장마","jang-ma","weather","normal"
"Khí hậu","기후","gi-hu","weather","normal"
"Kỳ nghỉ hè","여름 방학","yeo-reum bang-hak","time","easy"
"Kỳ nghỉ đông","겨울 방학","gyeo-ul bang-hak","time","easy"
"Ngày thường","평일","pyeong-il","time","easy"
"Ngày cuối tuần","주말","ju-mal","time","easy"
"Sáng sớm","이른 아침","i-reun a-chim","time","normal"
"Đêm khuya","늦은 밤","neu-jeun bam","time","normal"
"Công viên nước","워터파크","wo-teo-pa-keu","place","easy"
"Công viên giải trí","놀이공원","no-ri-gong-won","place","easy"
"Nhà hàng nướng","고기집","go-gi-jip","place","easy"
"Quán rượu","술집","sul-jip","place","easy"
"Phòng karaoke","노래방","no-rae-bang","place","easy"
"Internet café","PC방","pi-si-bang","place","easy"
"Xoay","회전하다","hoe-jeon-ha-da","action","hard"
"Giữ","잡고 있다","jap-go it-da","action","normal"
"Buông","놓아주다","no-a-ju-da","action","normal"
"Ẩn","숨기다","sum-gi-da","action","normal"
"Tìm ra","발견하다","bal-gyeon-ha-da","action","hard"
"Phá","부수다","bu-su-da","action","normal"
"Xây dựng","건설하다","geon-seol-ha-da","action","hard"
"Sắp xếp","정렬하다","jeong-ryeol-ha-da","action","hard"
"Chính xác","정확하다","jeong-hwa-ka-da","adjective","normal"
"Vô lý","불합리하다","bul-hap-ri-ha-da","adjective","hard"
"Hợp lý","합리적이다","hap-ri-jeo-gi-da","adjective","hard"
"Tiện lợi","편리하다","pyeol-li-ha-da","adjective","normal"
"Bất tiện","불편하다","bul-pyeon-ha-da","adjective","normal"
"Cũ kỹ","낡다","nak-da","adjective","normal"
